VERTICES 28001
-44.450 35.833 9.405
-43.216 35.884 9.525
-28.073 35.042 26.924
-17.466 34.079 31.219
-15.211 38.784 23.673
-12.172 33.221 30.185
-10.750 33.549 31.167
-12.698 32.035 32.239
-41.416 39.464 12.063
-41.326 39.231 10.097
77.626 -53.451 4.355
76.518 -53.551 6.541
79.019 -52.030 2.155
-83.460 31.255 -10.879
-84.482 29.803 -8.737
-78.966 29.839 -19.757
-79.371 30.019 -20.406
-77.114 36.484 -8.499
-76.242 34.439 -4.523
-76.775 34.146 -3.873
38.641 16.561 -0.425
36.548 15.596 0.649
46.428 29.472 -2.232
39.612 -15.110 25.852
25.279 -25.903 17.244
23.796 -28.541 14.151
41.188 -50.456 -16.895
45.311 -52.922 -18.237
46.498 -51.329 -19.962
65.626 -27.931 -8.177
67.069 -26.964 -8.210
60.133 -31.579 -6.093
-4.807 -51.345 -6.997
-7.077 -52.195 -8.572
6.930 -38.704 -2.078
7.424 -35.998 -2.991
-28.267 67.831 12.156
-29.873 64.253 11.254
-7.825 67.048 14.385
-6.044 68.041 15.918
-14.031 66.403 13.528
-26.544 -51.043 -36.840
-39.088 -54.673 -35.027
-36.931 -54.584 -34.678
39.170 -22.733 -21.159
39.005 -24.094 -22.531
40.154 -21.717 -17.828
38.746 -22.883 -16.495
29.462 -38.778 30.042
33.354 -39.051 31.096
31.769 -37.552 24.480
31.477 -37.540 24.183
31.625 -36.943 24.599
73.445 -19.763 -21.424
83.535 -10.057 -14.544
81.955 -8.541 -14.055
-44.275 12.879 13.059
-45.843 10.358 13.082
-38.195 22.445 12.142
-28.456 -44.059 -24.138
-29.445 -44.039 -23.896
-29.084 -43.655 -21.918
-27.627 -38.321 -31.988
-28.268 -37.869 -32.640
-27.442 -39.661 -31.639
54.177 -18.979 -22.469
53.987 -19.461 -22.595
-32.645 28.757 -3.462
-32.246 27.976 -2.470
-43.423 28.590 -11.155
-45.467 28.906 -10.902
-34.434 -54.324 -8.261
-28.862 -53.763 -6.749
-29.582 -54.452 -8.662
-54.346 -53.417 1.310
-55.306 -51.965 3.985
-55.840 -49.403 9.667
-57.847 -48.404 7.991
-57.702 -48.404 8.846
-56.211 -50.817 4.981
-56.201 -51.978 2.189
-57.498 -51.225 2.923
55.447 -29.479 0.435
55.293 -29.027 1.037
53.228 -29.507 7.822
53.599 -28.729 5.773
-55.865 56.571 9.182
-55.290 56.885 7.233
-47.651 53.106 17.051
-45.909 52.497 17.949
-17.573 49.672 32.127
-18.304 48.861 32.560
-20.480 54.877 29.236
-20.852 55.302 26.876
-17.847 55.514 28.814
-3.415 -31.141 -18.522
-1.437 -11.787 -8.414
75.562 -51.239 -7.304
65.579 -55.503 -3.376
67.979 -55.137 -5.217
-9.212 35.326 5.022
-10.164 36.769 5.982
-8.265 30.913 2.891
-24.681 -54.203 15.769
-23.747 -55.072 14.488
-27.227 -54.189 15.091
-10.932 -55.605 1.687
-12.744 -49.041 19.699
-11.159 -47.627 20.176
-26.346 -53.495 16.225
-1.233 -20.640 -13.082
-2.730 -22.465 -14.113
-0.201 -22.781 -12.338
0.081 -22.085 -11.400
3.427 -13.236 -8.826
5.804 -14.992 -8.563
5.496 -11.561 -8.268
0.664 -25.636 -11.522
77.891 23.992 2.011
74.513 5.449 -1.009
75.734 5.323 -1.709
86.093 -31.909 -10.961
81.683 -5.835 5.113
83.439 -4.427 4.139
83.006 -6.577 3.901
-40.921 -11.817 -16.269
-37.451 -14.779 -16.207
-46.994 -15.042 -17.896
-48.683 -16.699 -18.051
1.295 -20.083 -10.224
-0.007 -17.711 -11.727
-37.100 26.348 7.343
-46.503 27.333 11.575
-48.190 24.891 12.222
-20.195 58.373 8.842
-20.868 57.721 8.042
-17.914 56.937 12.960
-18.066 57.003 11.967
39.884 -28.985 -7.568
38.230 -28.069 -6.845
36.996 -27.695 -5.640
35.939 -27.397 -5.188
1.707 55.281 2.572
1.180 53.319 4.491
1.934 54.146 4.680
-26.083 57.912 26.881
-27.904 55.729 26.404
-26.640 58.436 27.128
49.206 -2.508 -4.079
48.387 -6.222 -3.714
37.574 -10.968 0.380
36.924 -13.767 -0.179
38.726 -12.742 -0.845
-27.866 -53.248 5.499
-29.910 -53.196 2.918
-35.187 -55.265 -10.492
-28.888 -55.188 -10.164
-22.118 -50.368 -16.942
46.220 -55.074 -11.675
53.868 -54.417 -15.057
47.197 -53.403 0.796
62.744 -41.080 14.879
63.399 -40.597 14.046
65.561 -43.059 12.265
54.471 -35.090 22.710
52.363 -33.729 24.498
-39.465 -31.336 -24.750
-40.484 -30.803 -23.700
-21.179 -36.808 -25.309
-21.305 -35.882 -25.059
-23.845 -36.364 -29.889
-24.590 -36.926 -30.835
-29.197 -33.746 -32.993
61.300 -31.640 -14.503
63.883 -29.792 -15.748
71.648 -26.550 -25.283
71.358 -24.718 -24.199
-74.249 53.422 -7.066
-73.588 52.339 -6.740
-73.914 47.043 -2.506
-63.732 50.403 -10.319
-65.930 51.332 -6.539
42.335 -45.899 -25.482
48.243 -37.350 -26.976
39.934 -53.579 -23.128
37.690 -53.627 -23.705
39.439 -53.295 -26.274
37.313 -52.732 -25.838
37.329 -53.322 -25.121
-50.152 58.517 -4.526
-50.605 57.834 -5.805
-54.095 59.486 0.250
-53.532 59.713 1.244
-54.272 59.069 1.978
64.527 -55.211 -1.800
62.590 -54.730 0.691
66.708 -54.749 -2.341
49.658 -46.594 19.230
54.147 -49.800 14.774
